claim_id,claim_text,metric_name,metric_value,target,passed,evidence_paths
C01,P12 双平台回合数达到 500+,episodes_per_platform_ge_500,True,True,True,outputs/router_phase12_realworld_v1/stats.json
C02,P12 安全与尾延迟门槛达标,success/collision/p95/p99 gates,"{'success': True, 'collision': True, 'p95': True, 'p99': True}",all True,True,outputs/router_phase12_realworld_v1/stats.json;reports/router_phase12_realworld_v1.md
C03,P13 外部强基线数量 >= 6,external_strong_baselines,7,>=6,True,outputs/router_phase13_sota_v1/stats.json;paper/tables_router_v3/table_phase13_external_sota_summary.csv
C04,P13 相对最强基线 J 改善 >= 3%,j_improve_vs_strongest_baseline_mean,5.710%,>=3%,True,outputs/router_phase13_sota_v1/stats.json
C05,"P13 pooled 显著性达标 (p<0.01, CI 不跨 0)",pooled_p/ci,"{'p': 0.0, 'ci95': [0.04395226184856901, 0.07064381485170529]}",p<0.01 and ci_low>0,True,outputs/router_phase13_sota_v1/stats.json
C06,P13 风险不劣（ΔV <= 0.5pct）,risk_delta_vs_strongest_mean_pct,-0.578,<=0.5,True,outputs/router_phase13_sota_v1/stats.json
C07,P14 扰动类型与样本规模达标,stress_type_count_ge_10 + cases_per_type_ge_100,"{'types': True, 'cases': True}",both True,True,outputs/router_phase14_stress_v1/stats.json;outputs/router_phase14_stress_v1/stress_profile_summary.csv
C08,P14 Worst-10% 成功率与恢复率达标,worst10_success + recovery_success,"{'worst10': 0.9666666666666667, 'recovery': 0.9794450154162384}",>=0.92 and >=0.95,True,outputs/router_phase14_stress_v1/stats.json
C09,P14 灾难性碰撞为 0,catastrophic_collision_count,0,0,True,outputs/router_phase14_stress_v1/stats.json
C10,Exp3/Exp4 漂移不退化（<=0.5%）,exp3_exp4_drift_abs_le_0_5pct,True,True,True,outputs/router_phase12_realworld_v1/stats.json
C11,理论闭环 gap <= 2%,theory_bound_gap_le_2pct,True,True,True,outputs/router_phase11_theory_v1/stats.json
C12,P16 相关工作基线 3 类齐备，且统计口径一致,baseline_family_count_ge_3 + same_protocol_and_budget,"{'baseline_family_count_ge_3': True, 'same_protocol_and_budget': True}",both True,True,outputs/router_phase16_related_baselines_v1/stats.json;reports/router_phase16_related_baselines_v1.md
C13,P16 相对相关工作最强 baseline: J 改善>=3%，风险不劣，且 pooled 显著,J_improve/risk/pooled_significance,"{'J_improve_vs_best_related_ge_3pct': True, 'risk_not_worse_deltaV_le_0_5pct': True, 'pooled_p_lt_0_01_and_ci_no_cross_0': True}",all True,True,outputs/router_phase16_related_baselines_v1/stats.json
C14,P17 单一 policy artifact 封口 + 闭环无显著退化,policy_single_source_of_truth + policy_vs_rule_no_regression_large,"{'policy_single_source_of_truth': True, 'policy_vs_rule_no_regression_large': True}",both True,True,outputs/router_phase17_policy_alignment_v1/stats.json;reports/router_phase17_policy_alignment_v1.md;artifacts/router_policy_v1/policy.json;artifacts/router_policy_v1/POLICY.sha256
C15,P19 新增 secondary 指标并完成 5 seeds + OOD 分析，且 router 不显著变差,secondary_metric_added + router_not_worse_on_secondary,"{'secondary_metric_added': True, 'secondary_results_reported_all_seeds': True, 'router_not_worse_on_secondary': True, 'proxy_validity_explained': True}",all True,True,outputs/router_phase19_metrics_extension_v1/stats.json;reports/router_phase19_metrics_extension_v1.md;paper/tables_router_v6/table_secondary_metrics.csv
C16,P21 minimal demo 可在 10s 内运行且保持单调安全,demo_runs_under_10s + probe_is_monotone_safe,"{'demo_runs_under_10s': True, 'probe_is_monotone_safe': True}",both True,True,outputs/router_phase21_neurips_positioning_v1/stats.json;reports/router_phase21_neurips_positioning_v1.md;docs/neurips_method_v1.md;utils/router_method_core.py
C17,P22 direct baselines (CDT/CRC) 在同协议下可复现且通过 gate,gate_check,"{'direct_baselines_ge_2': True, 'same_protocol_and_budget': True, 'either_win_or_reframe': True, 'main_result_significant': True}",all True,True,outputs/router_phase22_direct_baselines_v1/stats.json;reports/router_phase22_direct_baselines_v1.md;paper/tables_router_v7/table_phase22_direct_baselines.csv
C18,P23 portfolio router: K>=3 + 风险约束全 seeds 成立 + 存在 Pareto 优势区域,gate_check,"{'num_arms_ge_3': True, 'pareto_improve_vs_best_arm': True, 'risk_constraint_hold_all_seeds': True}",all True,True,outputs/router_phase23_portfolio_v1/stats.json;reports/router_phase23_portfolio_v1.md;paper/tables_router_v7/table_phase23_portfolio.csv;paper/figures_router_v7/fig_portfolio_tradeoff.svg;outputs/router_phase23_midnet_arm_full_tiny_b64_v1/stats.json
C19,P24 theory v3: 非平凡结论 + 冻结 seeds/OOD families 上逐条校验通过 + slack 合理,gate_check,"{'bound_gap_reasonable': True, 'empirical_checks_all_hold': True, 'theory_v3_nontrivial': True}",all True,True,outputs/router_phase24_theory_v3/stats.json;reports/router_phase24_theory_v3.md;docs/router_theory_v3.md;docs/router_theory_v3_appendix.md;outputs/router_phase24_theory_v3/seed_checks.csv;outputs/router_phase24_theory_v3/shift_bounds.csv
C20,P25 跨设置泛化：>=2 设置 + 风险控制成立 + 主要趋势不翻车,gate_check,"{'new_settings_ge_2': True, 'risk_control_holds_in_new_settings': True, 'trend_consistent': True}",all True,True,outputs/router_phase25_generalization_v1/stats.json;reports/router_phase25_generalization_v1.md;paper/figures_router_v7/fig_generalization_mp.svg;paper/figures_router_v7/fig_generalization_csm.svg
